Comuna_Origen;Especialidad_Destino;Rango_Edad;Establecimiento_Destino;CIE-10;Observacion;Tipo_Especialidad
San Antonio;Periodoncia;Toda edad;Hospital Claudio Vicuña;Todos. Excepto: K05.5 y Z75;;Odontológica
San Antonio;Rehabilitación Oral Fija;Toda edad;Hospital Claudio Vicuña;Todos.;Derivar con Rx retroalverolar;Odontológica
San Antonio;Rehabilitación Oral Removible;Toda edad;Hospital Claudio Vicuña;Todos.;;Odontológica
San Antonio;Trastornos Temporomandibulares y Dolor Orofacial;Toda edad;Hospital Claudio Vicuña;Todos.;Posterior a teleinterconsulta Hospital Digital.;Odontológica
San Antonio;Endodoncia;Toda edad;Mismo establecimiento APS (R);K04.9 Otras enfermedades no especificadas de pulpa y tejidos periapicales;Sólo para caso a resolver con cupos resolutividad APS.;Odontológica
San Antonio;Periodoncia;Toda edad;Mismo establecimiento APS (R);K05.5 Otras enfermedades periodontales;Sólo para caso a resolver con cupos resolutividad APS.;Odontológica
San Antonio;Rehabilitación Oral Removible;Toda edad;Mismo establecimiento APS (R);K08.8 Otros trastornos especificados de dientes y estructuras de soporte;Sólo para caso a resolver con cupos resolutividad APS.;Odontológica
Santo Domingo;Cirugía y Traumatología Buco Maxilofacial;Toda edad;Hospital Claudio Vicuña;Todos.;;Odontológica
Santo Domingo;Endodoncia;Toda edad;Hospital Claudio Vicuña;Todos. Excepto: K04.9.;;Odontológica
Santo Domingo;Patología Oral;Toda edad;Hospital Carlos Van Buren;C06.9 Tumor maligno de la boca, parte no especificada.;Con biopsia confirmada o evidente signos clínicos de malignidad.;Odontológica
Santo Domingo;Patología Oral;Toda edad;Hospital Carlos Van Buren;C14.8 Lesion de sitios contiguos del labio, de la cavidad bucal y de faringe.;Posterior a teleinterconsulta Hospital Digital.;Odontológica
Santo Domingo;Periodoncia;Toda edad;Hospital Claudio Vicuña;Todos. Excepto: K05.5 y Z75;;Odontológica
Santo Domingo;Rehabilitación Oral Fija;Toda edad;Hospital Claudio Vicuña;Todos.;Derivar con Rx retroalverolar;Odontológica
Santo Domingo;Rehabilitación Oral Removible;Toda edad;Hospital Claudio Vicuña;Todos.;;Odontológica
Santo Domingo;Trastornos Temporomandibulares y Dolor Orofacial;Toda edad;Hospital Claudio Vicuña;Todos.;Posterior a teleinterconsulta Hospital Digital.;Odontológica
Santo Domingo;Endodoncia;Toda edad;Mismo establecimiento APS (R);K04.9 Otras enfermedades no especificadas de pulpa y tejidos periapicales;Sólo para caso a resolver con cupos resolutividad APS.;Odontológica
Santo Domingo;Periodoncia;Toda edad;Mismo establecimiento APS (R);K05.5 Otras enfermedades periodontales;Sólo para caso a resolver con cupos resolutividad APS.;Odontológica
Santo Domingo;Rehabilitación Oral Removible;Toda edad;Mismo establecimiento APS (R);K08.8 Otros trastornos especificados de dientes y estructuras de soporte;Sólo para caso a resolver con cupos resolutividad APS.;Odontológica
Navidad;Cirugía y Traumatología Buco Maxilofacial;Toda edad;Hospital Claudio Vicuña;Todos.;;Odontológica
Navidad;Endodoncia;Toda edad;Hospital Claudio Vicuña;Todos. Excepto: K04.9.;;Odontológica
Navidad;Patología Oral;Toda edad;Hospital Carlos Van Buren;C06.9 Tumor maligno de la boca, parte no especificada.;Con biopsia confirmada o evidente signos clínicos de malignidad.;Odontológica
Navidad;Patología Oral;Toda edad;Hospital Carlos Van Buren;C14.8 Lesion de sitios contiguos del labio, de la cavidad bucal y de faringe.;Posterior a teleinterconsulta Hospital Digital.;Odontológica
Navidad;Periodoncia;Toda edad;Hospital Claudio Vicuña;Todos. Excepto: K05.5 y Z75;;Odontológica
Navidad;Rehabilitación Oral Fija;Toda edad;Hospital Claudio Vicuña;Todos.;;Odontológica
Navidad;Rehabilitación Oral Removible;Toda edad;Hospital Claudio Vicuña;Todos.;;Odontológica
Navidad;Trastornos Temporomandibulares y Dolor Orofacial;Toda edad;Hospital Claudio Vicuña;Todos.;;Odontológica
Navidad;Endodoncia;Toda edad;Mismo establecimiento APS (R);K04.9 Otras enfermedades no especificadas de pulpa y tejidos periapicales;Sólo para caso a resolver con cupos resolutividad APS.;Odontológica
Navidad;Periodoncia;Toda edad;Mismo establecimiento APS (R);K05.5 Otras enfermedades periodontales;Sólo para caso a resolver con cupos resolutividad APS.;Odontológica
Navidad;Rehabilitación Oral Removible;Toda edad;Mismo establecimiento APS (R);K08.8 Otros trastornos especificados de dientes y estructuras de soporte;Sólo para caso a resolver con cupos resolutividad APS.;Odontológica
Valparaíso.;Odontopediatría;< 20 años;Hospital Claudio Vicuña;Z75 Problemas relacionados con facilidades de atención médica u otros servicios de salud.;Para anestesia general. Menor de 20 años.;Odontológica
Valparaíso.;Odontopediatría;< 15 años;Centro de Referencia de Salud Odontológica (C.R.S.O.);Sin distinción.;;Odontológica
Valparaíso.;Ortodoncia y Ortopedia Dento Máxilo Facial;4 a 12 años;Centro de Referencia de Salud Odontológica (C.R.S.O.);K07.2 Anomalias de la relacion entre los arcos dentarios;Posterior a teleinterconsulta Hospital Digital.;Odontológica
Valparaíso.;Ortodoncia y Ortopedia Dento Máxilo Facial;4 a 12 años;Centro de Referencia de Salud Odontológica (C.R.S.O.);K01.0 Dientes incluidos;Posterior a teleinterconsulta Hospital Digital.;Odontológica
Valparaíso.;Ortodoncia y Ortopedia Dento Máxilo Facial;4 a 12 años;Centro de Referencia de Salud Odontológica (C.R.S.O.);K00.1 Dientes supernumerarios;Posterior a teleinterconsulta Hospital Digital.;Odontológica
Valparaíso.;Periodoncia;Desde 20 años;Hospital Claudio Vicuña;Z75 Problemas relacionados con facilidades de atención médica u otros servicios de salud.;Para anestesia general. Desde 20 años.;Odontológica
Juan Fernández;Odontopediatría;< 20 años;Hospital Claudio Vicuña;Z75 Problemas relacionados con facilidades de atención médica u otros servicios de salud.;Para anestesia general. Menor de 20 años.;Odontológica
Juan Fernández;Odontopediatría;< 15 años;Centro de Referencia de Salud Odontológica (C.R.S.O.);Sin distinción.;;Odontológica
Juan Fernández;Ortodoncia y Ortopedia Dento Máxilo Facial;4 a 12 años;Centro de Referencia de Salud Odontológica (C.R.S.O.);K07.2 Anomalias de la relacion entre los arcos dentarios;Posterior a teleinterconsulta Hospital Digital.;Odontológica
Juan Fernández;Ortodoncia y Ortopedia Dento Máxilo Facial;4 a 12 años;Centro de Referencia de Salud Odontológica (C.R.S.O.);K01.0 Dientes incluidos;Posterior a teleinterconsulta Hospital Digital.;Odontológica
Juan Fernández;Ortodoncia y Ortopedia Dento Máxilo Facial;4 a 12 años;Centro de Referencia de Salud Odontológica (C.R.S.O.);K00.1 Dientes supernumerarios;Posterior a teleinterconsulta Hospital Digital.;Odontológica
Juan Fernández;Periodoncia;Desde 20 años;Hospital Claudio Vicuña;Z75 Problemas relacionados con facilidades de atención médica u otros servicios de salud.;Para anestesia general. Desde 20 años.;Odontológica
Casablanca;Odontopediatría;< 20 años;Hospital Claudio Vicuña;Z75 Problemas relacionados con facilidades de atención médica u otros servicios de salud.;Para anestesia general. Menor de 20 años.;Odontológica
Casablanca;Odontopediatría;< 15 años;Centro de Referencia de Salud Odontológica (C.R.S.O.);Sin distinción.;;Odontológica
Casablanca;Ortodoncia y Ortopedia Dento Máxilo Facial;4 a 12 años;Hospital San José Casablanca;K07.2 Anomalias de la relacion entre los arcos dentarios;Posterior a teleinterconsulta Hospital Digital.;Odontológica
Casablanca;Ortodoncia y Ortopedia Dento Máxilo Facial;4 a 12 años;Hospital San José Casablanca;K01.0 Dientes incluidos;Posterior a teleinterconsulta Hospital Digital.;Odontológica
